,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2023-01-04,BUY,55.70000076293945,179,10029.699863433838,179,"Conservative Entry: Trend, MACD, ML_bullish",,
1,2023-03-09,SELL,52.349998474121094,179,19400.349590301514,0,"Conservative Exit: Stop_Loss, Trailing_Stop, ML_bearish",-599.6504096984863,-6.014366683900149
2,2024-06-07,BUY,38.099998474121094,254,9722.949977874756,254,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
3,2024-06-18,SELL,36.099998474121094,254,18892.349590301514,0,"Conservative Exit: Stop_Loss, Trailing_Stop, ML_bearish",-508.0,-5.2493440422536315
4,2024-09-19,BUY,37.20000076293945,253,9480.749397277832,253,"Conservative Entry: Trend, MACD, ML_bullish",,
5,2024-12-18,SELL,45.95000076293945,253,21106.099590301514,0,"Conservative Exit: Trailing_Stop, MACD_bearish, ML_bearish",2213.75,23.521504893938598
6,2025-03-07,BUY,48.5,217,10581.599590301514,217,"Conservative Entry: Trend, MACD, ML_bullish",,
7,2025-04-08,SELL,41.099998474121094,217,19500.29925918579,0,"Conservative Exit: Stop_Loss, Trailing_Stop, ML_bearish",-1605.8003311157227,-15.257735104904963
8,2025-06-09,BUY,47.20000076293945,206,9777.099102020264,206,"Conservative Entry: Trend, MACD, ML_bullish",,
9,2025-10-15,SELL,54.75,206,21055.599102020264,0,"Conservative Exit: Trailing_Stop, BB_upper, ML_bearish",1555.2998428344727,15.995760836912238
